"Kod";"Nazwa";"ogółem;kobiety;2019;[osoba]";
0611092;"Trzebieszów (2)";3589;
0611102;"Wojcieszków (2)";3392;
0611112;"Wola Mysłowska (2)";2259;
0612012;"Chodel (2)";3280;
0612023;"Józefów nad Wisłą (3)";3307;
0612024;"Józefów nad Wisłą - miasto (4)";476;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";2831;
0612032;"Karczmiska (2)";2807;
0612042;"Łaziska (2)";2469;
0612053;"Opole Lubelskie (3)";8804;
0612054;"Opole Lubelskie - miasto (4)";4402;
0612055;"Opole Lubelskie - obszar wiejski (5)";4402;
0612063;"Poniatowa (3)";7399;
0612064;"Poniatowa - miasto (4)";4802;
0612065;"Poniatowa - obszar wiejski (5)";2597;
0612072;"Wilków (2)";2209;
0613012;"Dębowa Kłoda (2)";1972;
0613022;"Jabłoń (2)";1882;
0613032;"Milanów (2)";1873;
0613043;"Parczew (3)";7378;
0613044;"Parczew - miasto (4)";5526;
0613045;"Parczew - obszar wiejski (5)";1852;
0613052;"Podedwórze (2)";801;
0613062;"Siemień (2)";2275;
0613072;"Sosnowica (2)";1285;
0614011;"Puławy (1)";25451;
0614022;"Baranów (2)";1997;
0614032;"Janowiec (2)";1816;
0614043;"Kazimierz Dolny (3)";3393;
0614044;"Kazimierz Dolny - miasto (4)";1352;
0614045;"Kazimierz Dolny - obszar wiejski (5)";2041;
0614052;"Końskowola (2)";4502;
0614062;"Kurów (2)";3863;
0614072;"Markuszów (2)";1495;
0614083;"Nałęczów (3)";4778;
0614084;"Nałęczów - miasto (4)";2055;
0614085;"Nałęczów - obszar wiejski (5)";2723;
0614092;"Puławy (2)";6121;
0614102;"Wąwolnica (2)";2346;
0614112;"Żyrzyn (2)";3230;
0615011;"Radzyń Podlaski (1)";8116;
0615022;"Borki (2)";2994;
0615032;"Czemierniki (2)";2145;
0615042;"Kąkolewnica (2)";3962;
0615052;"Komarówka Podlaska (2)";2067;
0615062;"Radzyń Podlaski (2)";4010;
0615072;"Ulan-Majorat (2)";2853;
0615082;"Wohyń (2)";3279;
0616011;"Dęblin (1)";8011;
0616022;"Kłoczew (2)";3526;
0616032;"Nowodwór (2)";2008;
0616043;"Ryki (3)";10333;
0616044;"Ryki - miasto (4)";4990;
0616045;"Ryki - obszar wiejski (5)";5343;
0616052;"Stężyca (2)";2571;
0616062;"Ułęż (2)";1596;
0617011;"Świdnik (1)";20542;
0617022;"Mełgiew (2)";5062;
0617033;"Piaski (3)";5461;
0617034;"Piaski - miasto (4)";1347;
0617035;"Piaski - obszar wiejski (5)";4114;
0617042;"Rybczewice (2)";1704;
0617052;"Trawniki (2)";4535;
0618011;"Tomaszów Lubelski (1)";10021;
0618022;"Bełżec (2)";1649;
0618032;"Jarczów (2)";1705;
0618042;"Krynice (2)";1623;
0618053;"Lubycza Królewska (3)";3087;
0618054;"Lubycza Królewska - miasto (4)";1235;
0618055;"Lubycza Królewska - obszar wiejski (5)";1852;
0618063;"Łaszczów (3)";3086;
0618064;"Łaszczów - miasto (4)";1087;
0618065;"Łaszczów - obszar wiejski (5)";1999;
0618072;"Rachanie (2)";2509;
0618082;"Susiec (2)";3706;
0618092;"Tarnawatka (2)";1935;
0618102;"Telatyn (2)";1946;
0618112;"Tomaszów Lubelski (2)";5748;
0618123;"Tyszowce (3)";2728;
0618124;"Tyszowce - miasto (4)";1029;
0618125;"Tyszowce - obszar wiejski (5)";1699;
0618132;"Ulhówek (2)";2272;
0619011;"Włodawa (1)";6822;
0619022;"Hanna (2)";1430;
0619032;"Hańsk (2)";1853;
0619042;"Stary Brus (2)";1041;
0619052;"Urszulin (2)";2042;
0619062;"Włodawa (2)";3011;
0619072;"Wola Uhruska (2)";1966;
0619082;"Wyryki (2)";1276;
0620012;"Adamów (2)";2309;
0620022;"Grabowiec (2)";1991;
0620032;"Komarów-Osada (2)";2497;
0620043;"Krasnobród (3)";3515;
0620044;"Krasnobród - miasto (4)";1570;
0620045;"Krasnobród - obszar wiejski (5)";1945;
0620052;"Łabunie (2)";3175;
0620062;"Miączyn (2)";2897;
0620072;"Nielisz (2)";2766;
0620082;"Radecznica (2)";2847;
0620092;"Sitno (2)";3360;
0620102;"Skierbieszów (2)";2556;
0620112;"Stary Zamość (2)";2591;
0620122;"Sułów (2)";2320;
0620133;"Szczebrzeszyn (3)";5741;
0620134;"Szczebrzeszyn - miasto (4)";2605;
0620135;"Szczebrzeszyn - obszar wiejski (5)";3136;
0620142;"Zamość (2)";11800;
0620153;"Zwierzyniec (3)";3439;
0620154;"Zwierzyniec - miasto (4)";1661;
0620155;"Zwierzyniec - obszar wiejski (5)";1778;
0661011;"Biała Podlaska (1)";29794;
0662011;"Chełm (1)";32882;
0663011;"Lublin (1)";183075;
0664011;"Zamość (1)";33630;
0800000;"LUBUSKIE";519426;
0801011;"Kostrzyn nad Odrą (1)";9011;
0801022;"Bogdaniec (2)";3594;
0801032;"Deszczno (2)";4933;
0801042;"Kłodawa (2)";4415;
0801052;"Lubiszyn (2)";3397;
0801062;"Santok (2)";4321;
0801073;"Witnica (3)";6556;
0801074;"Witnica - miasto (4)";3449;
0801075;"Witnica - obszar wiejski (5)";3107;
0802011;"Gubin (1)";8644;
0802022;"Bobrowice (2)";1603;
0802032;"Bytnica (2)";1244;
0802042;"Dąbie (2)";2386;
0802052;"Gubin (2)";3553;
0802063;"Krosno Odrzańskie (3)";9056;
0802064;"Krosno Odrzańskie - miasto (4)";5818;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";3238;
0802072;"Maszewo (2)";1382;
0803012;"Bledzew (2)";2198;
0803023;"Międzyrzecz (3)";12681;
0803024;"Międzyrzecz - miasto (4)";9254;
0803025;"Międzyrzecz - obszar wiejski (5)";3427;
0803032;"Przytoczna (2)";2694;
0803042;"Pszczew (2)";2193;
0803053;"Skwierzyna (3)";6162;
0803054;"Skwierzyna - miasto (4)";4900;
0803055;"Skwierzyna - obszar wiejski (5)";1262;
0803063;"Trzciel (3)";3182;
0803064;"Trzciel - miasto (4)";1201;
0803065;"Trzciel - obszar wiejski (5)";1981;
0804011;"Nowa Sól (1)";20272;
0804023;"Bytom Odrzański (3)";2738;
0804024;"Bytom Odrzański - miasto (4)";2200;
0804025;"Bytom Odrzański - obszar wiejski (5)";538;
0804032;"Kolsko (2)";1633;
0804043;"Kożuchów (3)";8141;
0804044;"Kożuchów - miasto (4)";4916;
0804045;"Kożuchów - obszar wiejski (5)";3225;
0804052;"Nowa Sól (2)";3501;
0804063;"Nowe Miasteczko (3)";2679;
0804064;"Nowe Miasteczko - miasto (4)";1389;
0804065;"Nowe Miasteczko - obszar wiejski (5)";1290;
0804073;"Otyń (3)";3448;
0804074;"Otyń - miasto (4)";815;
0804075;"Otyń - obszar wiejski (5)";2633;
0804082;"Siedlisko (2)";1773;
0805013;"Cybinka (3)";3178;
0805014;"Cybinka - miasto (4)";1351;
0805015;"Cybinka - obszar wiejski (5)";1827;
0805022;"Górzyca (2)";2128;
0805033;"Ośno Lubuskie (3)";3256;
0805034;"Ośno Lubuskie - miasto (4)";2038;
0805035;"Ośno Lubuskie - obszar wiejski (5)";1218;
0805043;"Rzepin (3)";4908;
0805044;"Rzepin - miasto (4)";3337;
0805045;"Rzepin - obszar wiejski (5)";1571;
0805053;"Słubice (3)";10486;
0805054;"Słubice - miasto (4)";8768;
0805055;"Słubice - obszar wiejski (5)";1718;
0806013;"Dobiegniew (3)";3284;
0806014;"Dobiegniew - miasto (4)";1568;
0806015;"Dobiegniew - obszar wiejski (5)";1716;
0806023;"Drezdenko (3)";8664;
0806024;"Drezdenko - miasto (4)";5191;
0806025;"Drezdenko - obszar wiejski (5)";3473;
0806032;"Stare Kurowo (2)";2009;
0806043;"Strzelce Krajeńskie (3)";8676;
0806044;"Strzelce Krajeńskie - miasto (4)";5181;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";3495;
0806052;"Zwierzyn (2)";2161;
0807012;"Krzeszyce (2)";2342;
0807023;"Lubniewice (3)";1597;
0807024;"Lubniewice - miasto (4)";1075;
0807025;"Lubniewice - obszar wiejski (5)";522;
0807032;"Słońsk (2)";2335;
0807043;"Sulęcin (3)";7973;
0807044;"Sulęcin - miasto (4)";5214;
0807045;"Sulęcin - obszar wiejski (5)";2759;
0807053;"Torzym (3)";3457;
0807054;"Torzym - miasto (4)";1328;
0807055;"Torzym - obszar wiejski (5)";2129;
0808012;"Lubrza (2)";1727;
0808022;"Łagów (2)";2431;
0808032;"Skąpe (2)";2510;
0808042;"Szczaniec (2)";1958;
0808053;"Świebodzin (3)";15593;
0808054;"Świebodzin - miasto (4)";11400;
0808055;"Świebodzin - obszar wiejski (5)";4193;
0808063;"Zbąszynek (3)";4245;
0808064;"Zbąszynek - miasto (4)";2593;
0808065;"Zbąszynek - obszar wiejski (5)";1652;
0809013;"Babimost (3)";3146;
0809014;"Babimost - miasto (4)";2000;
0809015;"Babimost - obszar wiejski (5)";1146;
0809022;"Bojadła (2)";1638;
0809033;"Czerwieńsk (3)";5030;
0809034;"Czerwieńsk - miasto (4)";2025;
0809035;"Czerwieńsk - obszar wiejski (5)";3005;
0809043;"Kargowa (3)";2980;
0809044;"Kargowa - miasto (4)";1929;
0809045;"Kargowa - obszar wiejski (5)";1051;
0809053;"Nowogród Bobrzański (3)";4788;
0809054;"Nowogród Bobrzański - miasto (4)";2611;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";2177;
0809063;"Sulechów (3)";13515;
0809064;"Sulechów - miasto (4)";8639;
0809065;"Sulechów - obszar wiejski (5)";4876;
0809072;"Świdnica (2)";3376;
0809082;"Trzebiechów (2)";1651;
0809092;"Zabór (2)";2192;
0810011;"Gozdnica (1)";1551;
0810021;"Żagań (1)";13306;
0810032;"Brzeźnica (2)";1861;
0810043;"Iłowa (3)";3520;
0810044;"Iłowa - miasto (4)";2031;
0810045;"Iłowa - obszar wiejski (5)";1489;
0810053;"Małomice (3)";2651;
0810054;"Małomice - miasto (4)";1791;
0810055;"Małomice - obszar wiejski (5)";860;
0810062;"Niegosławice (2)";2166;
0810073;"Szprotawa (3)";10677;
0810074;"Szprotawa - miasto (4)";6153;
0810075;"Szprotawa - obszar wiejski (5)";4524;
0810082;"Wymiarki (2)";1181;
0810092;"Żagań (2)";3589;
0811011;"Łęknica (1)";1260;
0811021;"Żary (1)";19618;
0811032;"Brody (2)";1705;
0811043;"Jasień (3)";3509;
0811044;"Jasień - miasto (4)";2152;
0811045;"Jasień - obszar wiejski (5)";1357;
0811052;"Lipinki Łużyckie (2)";1735;
0811063;"Lubsko (3)";9404;
0811064;"Lubsko - miasto (4)";7175;
0811065;"Lubsko - obszar wiejski (5)";2229;
0811072;"Przewóz (2)";1566;
0811082;"Trzebiel (2)";2849;
0811092;"Tuplice (2)";1550;
0811102;"Żary (2)";6234;
0812013;"Sława (3)";6376;
0812014;"Sława - miasto (4)";2200;
0812015;"Sława - obszar wiejski (5)";4176;
0812023;"Szlichtyngowa (3)";2477;
0812024;"Szlichtyngowa - miasto (4)";641;
0812025;"Szlichtyngowa - obszar wiejski (5)";1836;
0812033;"Wschowa (3)";10828;
0812034;"Wschowa - miasto (4)";7223;
0812035;"Wschowa - obszar wiejski (5)";3605;
0861011;"Gorzów Wielkopolski (1)";64910;
0862011;"Zielona Góra (1)";74279;
1000000;"ŁÓDZKIE";1285144;
1001011;"Bełchatów (1)";29257;
1001022;"Bełchatów (2)";5788;
1001032;"Drużbice (2)";2642;
1001042;"Kleszczów (2)";3228;
1001052;"Kluki (2)";2236;
1001062;"Rusiec (2)";2589;
1001072;"Szczerców (2)";4237;
1001083;"Zelów (3)";7604;
1001084;"Zelów - miasto (4)";3890;
1001085;"Zelów - obszar wiejski (5)";3714;
1002011;"Kutno (1)";23409;
1002022;"Bedlno (2)";2640;
1002032;"Dąbrowice (2)";1002;
1002043;"Krośniewice (3)";4310;
1002044;"Krośniewice - miasto (4)";2285;
1002045;"Krośniewice - obszar wiejski (5)";2025;
1002052;"Krzyżanów (2)";2133;
1002062;"Kutno (2)";4343;
1002072;"Łanięta (2)";1167;
1002082;"Nowe Ostrowy (2)";1781;
1002092;"Oporów (2)";1267;
1002102;"Strzelce (2)";1988;
1002113;"Żychlin (3)";6106;
1002114;"Żychlin - miasto (4)";4223;
1002115;"Żychlin - obszar wiejski (5)";1883;
1003012;"Buczek (2)";2605;
1003023;"Łask (3)";14358;
1003024;"Łask - miasto (4)";9085;
1003025;"Łask - obszar wiejski (5)";5273;
1003032;"Sędziejowice (2)";3236;
1003042;"Widawa (2)";3705;
1003052;"Wodzierady (2)";1732;
1004011;"Łęczyca (1)";7513;
1004022;"Daszyna (2)";1994;
1004032;"Góra Świętej Małgorzaty (2)";2221;
1004042;"Grabów (2)";2935;
1004052;"Łęczyca (2)";4310;
1004062;"Piątek (2)";3033;
1004072;"Świnice Warckie (2)";1954;
1004082;"Witonia (2)";1638;
1005011;"Łowicz (1)";14929;
1005022;"Bielawy (2)";2677;
1005032;"Chąśno (2)";1450;
1005042;"Domaniewice (2)";2387;
1005052;"Kiernozia (2)";1680;
1005062;"Kocierzew Południowy (2)";2055;
1005072;"Łowicz (2)";3914;
1005082;"Łyszkowice (2)";3455;
1005092;"Nieborów (2)";4827;
1005102;"Zduny (2)";2923;
1006022;"Andrespol (2)";7466;
1006032;"Brójce (2)";3374;
1006073;"Koluszki (3)";12296;
1006074;"Koluszki - miasto (4)";6836;
1006075;"Koluszki - obszar wiejski (5)";5460;
1006082;"Nowosolna (2)";2583;
1006103;"Rzgów (3)";5408;
1006104;"Rzgów - miasto (4)";1751;
1006105;"Rzgów - obszar wiejski (5)";3657;
1006113;"Tuszyn (3)";6402;
1006114;"Tuszyn - miasto (4)";3792;
1006115;"Tuszyn - obszar wiejski (5)";2610;
1007012;"Białaczów (2)";2898;
1007023;"Drzewica (3)";5290;
1007024;"Drzewica - miasto (4)";1942;
1007025;"Drzewica - obszar wiejski (5)";3348;
1007032;"Mniszków (2)";2359;
1007043;"Opoczno (3)";17425;
1007044;"Opoczno - miasto (4)";10854;
1007045;"Opoczno - obszar wiejski (5)";6571;
1007052;"Paradyż (2)";2147;
1007062;"Poświętne (2)";1561;
1007072;"Sławno (2)";3796;
1007082;"Żarnów (2)";2921;
1008011;"Konstantynów Łódzki (1)";9735;
1008021;"Pabianice (1)";34896;
1008032;"Dłutów (2)";2339;
1008042;"Dobroń (2)";3962;
1008052;"Ksawerów (2)";3986;
1008062;"Lutomiersk (2)";4377;
1008072;"Pabianice (2)";3905;
1009013;"Działoszyn (3)";6255;
1009014;"Działoszyn - miasto (4)";2980;
1009015;"Działoszyn - obszar wiejski (5)";3275;
1009022;"Kiełczygłów (2)";2017;
1009032;"Nowa Brzeźnica (2)";2284;
1009043;"Pajęczno (3)";5849;
1009044;"Pajęczno - miasto (4)";3393;
1009045;"Pajęczno - obszar wiejski (5)";2456;
1009052;"Rząśnia (2)";2510;
1009062;"Siemkowice (2)";2385;
1009072;"Strzelce Wielkie (2)";2305;
1009082;"Sulmierzyce (2)";2291;
1010012;"Aleksandrów (2)";2161;
1010022;"Czarnocin (2)";2126;
1010032;"Gorzkowice (2)";4345;
1010042;"Grabica (2)";3019;
1010052;"Łęki Szlacheckie (2)";1704;
1010062;"Moszczenica (2)";6654;
1010072;"Ręczno (2)";1778;
1010082;"Rozprza (2)";6270;
1010093;"Sulejów (3)";8226;
1010094;"Sulejów - miasto (4)";3143;
1010095;"Sulejów - obszar wiejski (5)";5083;
1010102;"Wola Krzysztoporska (2)";6077;
1010113;"Wolbórz (3)";3999;
1010114;"Wolbórz - miasto (4)";1223;
1010115;"Wolbórz - obszar wiejski (5)";2776;
1011012;"Dalików (2)";1947;
1011022;"Pęczniew (2)";1748;
1011033;"Poddębice (3)";7969;
1011034;"Poddębice - miasto (4)";3899;
1011035;"Poddębice - obszar wiejski (5)";4070;
1011043;"Uniejów (3)";3558;
1011044;"Uniejów - miasto (4)";1604;
1011045;"Uniejów - obszar wiejski (5)";1954;
1011052;"Wartkowice (2)";3129;
1011062;"Zadzim (2)";2452;
1012011;"Radomsko (1)";24194;
1012022;"Dobryszyce (2)";2225;
1012032;"Gidle (2)";2990;
1012042;"Gomunice (2)";2975;
1012053;"Kamieńsk (3)";2938;
1012054;"Kamieńsk - miasto (4)";1394;
1012055;"Kamieńsk - obszar wiejski (5)";1544;
1012062;"Kobiele Wielkie (2)";2224;
1012072;"Kodrąb (2)";2284;
1012082;"Lgota Wielka (2)";2139;
1012092;"Ładzice (2)";2303;
1012102;"Masłowice (2)";2118;
1012113;"Przedbórz (3)";3556;
1012114;"Przedbórz - miasto (4)";1834;
1012115;"Przedbórz - obszar wiejski (5)";1722;
1012122;"Radomsko (2)";2814;
1012132;"Wielgomłyny (2)";2199;
1012142;"Żytno (2)";2511;
1013011;"Rawa Mazowiecka (1)";9053;
1013023;"Biała Rawska (3)";5693;
1013024;"Biała Rawska - miasto (4)";1627;
1013025;"Biała Rawska - obszar wiejski (5)";4066;
1013032;"Cielądz (2)";1934;
1013042;"Rawa Mazowiecka (2)";4402;
1013052;"Regnów (2)";875;
1013062;"Sadkowice (2)";2693;
1014011;"Sieradz (1)";22168;
1014023;"Błaszki (3)";7281;
1014024;"Błaszki - miasto (4)";1075;
1014025;"Błaszki - obszar wiejski (5)";6206;
1014032;"Brąszewice (2)";2218;
1014042;"Brzeźnio (2)";3182;
1014052;"Burzenin (2)";2742;
1014062;"Goszczanów (2)";2729;
1014072;"Klonowa (2)";1442;
1014082;"Sieradz (2)";5309;
1014093;"Warta (3)";6464;
1014094;"Warta - miasto (4)";1669;
1014095;"Warta - obszar wiejski (5)";4795;
1014102;"Wróblew (2)";3064;
1014113;"Złoczew (3)";3663;
1014114;"Złoczew - miasto (4)";1773;
1014115;"Złoczew - obszar wiejski (5)";1890;
1015012;"Bolimów (2)";2066;
1015022;"Głuchów (2)";2928;
1015032;"Godzianów (2)";1305;
1015042;"Kowiesy (2)";1442;
1015052;"Lipce Reymontowskie (2)";1680;
1015062;"Maków (2)";3031;
1015072;"Nowy Kawęczyn (2)";1664;
1015082;"Skierniewice (2)";3813;
1015092;"Słupia (2)";1265;
1016011;"Tomaszów Mazowiecki (1)";32951;
1016022;"Będków (2)";1625;
1016032;"Budziszewice (2)";1100;
1016042;"Czerniewice (2)";2509;
1016052;"Inowłódz (2)";1978;
1016062;"Lubochnia (2)";3648;
1016072;"Rokiciny (2)";3166;
1016082;"Rzeczyca (2)";2270;
1016092;"Tomaszów Mazowiecki (2)";5726;
1016102;"Ujazd (2)";4010;
1016112;"Żelechlinek (2)";1705;
1017012;"Biała (2)";2725;
1017022;"Czarnożyły (2)";2257;
1017032;"Konopnica (2)";1906;
1017042;"Mokrsko (2)";2673;
1017052;"Osjaków (2)";2348;
1017062;"Ostrówek (2)";2261;
1017072;"Pątnów (2)";3293;
1017082;"Skomlin (2)";1674;
1017093;"Wieluń (3)";16402;
1017094;"Wieluń - miasto (4)";11716;
1017095;"Wieluń - obszar wiejski (5)";4686;
1017102;"Wierzchlas (2)";3315;
1018012;"Bolesławiec (2)";2026;
1018022;"Czastary (2)";1993;
1018032;"Galewice (2)";3031;
1018042;"Lututów (2)";2316;
1018052;"Łubnice (2)";2038;
1018062;"Sokolniki (2)";2522;
1018073;"Wieruszów (3)";7334;
1018074;"Wieruszów - miasto (4)";4424;
1018075;"Wieruszów - obszar wiejski (5)";2910;
1019011;"Zduńska Wola (1)";21982;
1019023;"Szadek (3)";3684;
1019024;"Szadek - miasto (4)";1010;
1019025;"Szadek - obszar wiejski (5)";2674;
1019032;"Zapolice (2)";2518;
1019042;"Zduńska Wola (2)";6052;
1020011;"Głowno (1)";7457;
1020021;"Ozorków (1)";10317;
1020031;"Zgierz (1)";30196;
1020043;"Aleksandrów Łódzki (3)";16847;
1020044;"Aleksandrów Łódzki - miasto (4)";11540;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";5307;
1020052;"Głowno (2)";2400;
1020062;"Ozorków (2)";3612;
1020072;"Parzęczew (2)";2510;
1020083;"Stryków (3)";6493;
1020084;"Stryków - miasto (4)";1811;
1020085;"Stryków - obszar wiejski (5)";4682;
1020092;"Zgierz (2)";7403;
1021011;"Brzeziny (1)";6599;
1021022;"Brzeziny (2)";2921;
1021032;"Dmosin (2)";2266;
1021042;"Jeżów (2)";1709;
1021052;"Rogów (2)";2378;
1061011;"Łódź (1)";369987;
1062011;"Piotrków Trybunalski (1)";38887;
1063011;"Skierniewice (1)";25106;
1200000;"MAŁOPOLSKIE";1755429;
1201011;"Bochnia (1)";15417;
1201022;"Bochnia (2)";10077;
1201032;"Drwinia (2)";3291;
1201042;"Lipnica Murowana (2)";2767;
1201052;"Łapanów (2)";4051;
1201063;"Nowy Wiśnicz (3)";7015;
1201064;"Nowy Wiśnicz - miasto (4)";1409;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";5606;
1201072;"Rzezawa (2)";5751;
1201082;"Trzciana (2)";2871;
1201092;"Żegocina (2)";2783;
1202012;"Borzęcin (2)";4172;
1202023;"Brzesko (3)";18383;
1202024;"Brzesko - miasto (4)";8733;
1202025;"Brzesko - obszar wiejski (5)";9650;
1202033;"Czchów (3)";4918;
1202034;"Czchów - miasto (4)";1176;
1202035;"Czchów - obszar wiejski (5)";3742;
1202042;"Dębno (2)";7446;
1202052;"Gnojnik (2)";3969;
1202062;"Iwkowa (2)";3313;
1202072;"Szczurowa (2)";4745;
1203013;"Alwernia (3)";6361;
1203014;"Alwernia - miasto (4)";1711;
1203015;"Alwernia - obszar wiejski (5)";4650;
1203022;"Babice (2)";4659;
1203033;"Chrzanów (3)";24383;
1203034;"Chrzanów - miasto (4)";19129;
1203035;"Chrzanów - obszar wiejski (5)";5254;
1203043;"Libiąż (3)";11525;
1203044;"Libiąż - miasto (4)";8757;
1203045;"Libiąż - obszar wiejski (5)";2768;
1203053;"Trzebinia (3)";17357;
1203054;"Trzebinia - miasto (4)";10088;
1203055;"Trzebinia - obszar wiejski (5)";7269;
1204012;"Bolesław (2)";1284;
1204023;"Dąbrowa Tarnowska (3)";10686;
1204024;"Dąbrowa Tarnowska - miasto (4)";6044;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";4642;
1204032;"Gręboszów (2)";1702;
1204042;"Mędrzechów (2)";1736;
1204052;"Olesno (2)";4009;
1204062;"Radgoszcz (2)";3679;
1204073;"Szczucin (3)";6553;
1204074;"Szczucin - miasto (4)";2129;
1204075;"Szczucin - obszar wiejski (5)";4424;
1205011;"Gorlice (1)";14252;
1205023;"Biecz (3)";8505;
1205024;"Biecz - miasto (4)";2381;
1205025;"Biecz - obszar wiejski (5)";6124;
1205033;"Bobowa (3)";4844;
1205034;"Bobowa - miasto (4)";1524;
1205035;"Bobowa - obszar wiejski (5)";3320;
1205042;"Gorlice (2)";8602;
1205052;"Lipinki (2)";3438;
1205062;"Łużna (2)";4175;
1205072;"Moszczenica (2)";2524;
1205082;"Ropa (2)";2733;
1205092;"Sękowa (2)";2517;
1205102;"Uście Gorlickie (2)";3378;
1206012;"Czernichów (2)";7533;
1206022;"Igołomia-Wawrzeńczyce (2)";3901;
1206032;"Iwanowice (2)";4566;
1206042;"Jerzmanowice-Przeginia (2)";5505;
1206052;"Kocmyrzów-Luborzyca (2)";7954;
1206063;"Krzeszowice (3)";16584;
1206064;"Krzeszowice - miasto (4)";5187;
1206065;"Krzeszowice - obszar wiejski (5)";11397;
1206072;"Liszki (2)";8949;
1206082;"Michałowice (2)";5375;
1206092;"Mogilany (2)";7281;
1206103;"Skała (3)";5229;
1206104;"Skała - miasto (4)";1920;
1206105;"Skała - obszar wiejski (5)";3309;
1206113;"Skawina (3)";22542;
1206114;"Skawina - miasto (4)";12672;
1206115;"Skawina - obszar wiejski (5)";9870;
1206123;"Słomniki (3)";6982;
1206124;"Słomniki - miasto (4)";2265;
1206125;"Słomniki - obszar wiejski (5)";4717;
1206132;"Sułoszowa (2)";2896;
1206143;"Świątniki Górne (3)";5141;
1206144;"Świątniki Górne - miasto (4)";1261;
1206145;"Świątniki Górne - obszar wiejski (5)";3880;
1206152;"Wielka Wieś (2)";6524;
1206162;"Zabierzów (2)";13795;
1206172;"Zielonki (2)";11851;
1207011;"Limanowa (1)";7680;
1207021;"Mszana Dolna (1)";4123;
1207032;"Dobra (2)";4970;
1207042;"Jodłownik (2)";4314;
1207052;"Kamienica (2)";3922;
1207062;"Laskowa (2)";4118;
1207072;"Limanowa (2)";12793;
1207082;"Łukowica (2)";5042;
1207092;"Mszana Dolna (2)";8573;
1207102;"Niedźwiedź (2)";3566;
1207112;"Słopnice (2)";3347;
1207122;"Tymbark (2)";3354;
1208012;"Charsznica (2)";3751;
1208022;"Gołcza (2)";2982;
1208032;"Kozłów (2)";2302;
1208042;"Książ Wielki (2)";2572;
1208053;"Miechów (3)";10192;
1208054;"Miechów - miasto (4)";6100;
1208055;"Miechów - obszar wiejski (5)";4092;
1208062;"Racławice (2)";1230;
1208072;"Słaboszów (2)";1747;
1209013;"Dobczyce (3)";7703;
1209014;"Dobczyce - miasto (4)";3281;
1209015;"Dobczyce - obszar wiejski (5)";4422;
1209022;"Lubień (2)";5138;
1209033;"Myślenice (3)";22568;
1209034;"Myślenice - miasto (4)";9535;
1209035;"Myślenice - obszar wiejski (5)";13033;
1209042;"Pcim (2)";5566;
1209052;"Raciechowice (2)";3210;
1209062;"Siepraw (2)";4538;
1209073;"Sułkowice (3)";7627;
1209074;"Sułkowice - miasto (4)";3409;
1209075;"Sułkowice - obszar wiejski (5)";4218;
1209082;"Tokarnia (2)";4318;
1209092;"Wiśniowa (2)";3706;
1210011;"Grybów (1)";3119;
1210022;"Chełmiec (2)";14362;
1210032;"Gródek nad Dunajcem (2)";4619;
1210042;"Grybów (2)";12771;
1210052;"Kamionka Wielka (2)";5247;
1210062;"Korzenna (2)";7166;
1210073;"Krynica-Zdrój (3)";8647;
1210074;"Krynica-Zdrój - miasto (4)";5664;
1210075;"Krynica-Zdrój - obszar wiejski (5)";2983;
1210082;"Łabowa (2)";2956;
1210092;"Łącko (2)";8204;
1210102;"Łososina Dolna (2)";5549;
1210113;"Muszyna (3)";5930;
1210114;"Muszyna - miasto (4)";2482;
1210115;"Muszyna - obszar wiejski (5)";3448;
1210122;"Nawojowa (2)";4423;
1210133;"Piwniczna-Zdrój (3)";5363;
1210134;"Piwniczna-Zdrój - miasto (4)";2954;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";2409;
1210142;"Podegrodzie (2)";6640;
1210152;"Rytro (2)";1871;
1210163;"Stary Sącz (3)";11927;
1210164;"Stary Sącz - miasto (4)";4601;
1210165;"Stary Sącz - obszar wiejski (5)";7326;
1211011;"Nowy Targ (1)";17398;
1211023;"Szczawnica (3)";3714;
1211024;"Szczawnica - miasto (4)";2979;
1211025;"Szczawnica - obszar wiejski (5)";735;
1211032;"Czarny Dunajec (2)";11542;
1211042;"Czorsztyn (2)";3932;
1211052;"Jabłonka (2)";9442;
1211062;"Krościenko nad Dunajcem (2)";3499;
1211072;"Lipnica Wielka (2)";3055;
1211082;"Łapsze Niżne (2)";4718;
1211092;"Nowy Targ (2)";12136;
1211102;"Ochotnica Dolna (2)";4269;
1211112;"Raba Wyżna (2)";7428;
1211123;"Rabka-Zdrój (3)";8880;
1211124;"Rabka-Zdrój - miasto (4)";6721;
1211125;"Rabka-Zdrój - obszar wiejski (5)";2159;
1211132;"Spytkowice (2)";2326;
1211142;"Szaflary (2)";5574;
1212011;"Bukowno (1)";5257;
1212032;"Bolesław (2)";3974;
1212042;"Klucze (2)";7711;
1212053;"Olkusz (3)";25104;
1212054;"Olkusz - miasto (4)";18221;
1212055;"Olkusz - obszar wiejski (5)";6883;
